File,TotalExecutor,Executor,Distance,CoresetExecution,FinalExecution,Centers,NumBlocks
3000000,16,4,8.33509780339,455.807143211,3.48478984833,10,25
2000000,16,4,8.04008740669,67.1774430275,3.29597687721,10,25
1000000,16,4,6.18576027311,43.2035088539,3.43888115883,10,25
500000,16,4,7.71218231882,24.0088839531,3.15541291237,10,25
3000000,32,4,8.54354623051,150.811307907,3.11777305603,10,25
500000,16,4,7.48024897026,23.5904459953,10.2959268093,15,25
500000,16,4,7.16872243486,26.4005818367,26.2917811871,20,25
500000,16,4,7.25900005609,28.9218621254,47.867223978,25,25
500000,16,4,7.73446440303,23.6493079662,2.15308785439,10,20
500000,16,4,7.74920812901,23.9541480541,1.19442105293,10,15
500000,16,4,8.12516513788,65.4239969254,0.549108982086,10,10
3000000,16,4,7.18404291803,361.683037043,26.0441298485,20,25
3000000,16,4,7.24895852842,145.768740177,10.2473189831,15,25
3000000,16,4,7.81227415331,100.362796068,48.1185350418,25,25
6500000,16,4,9.61695805197,465.276540995,3.27836108208,10,25
1000000,16,4,6.25204456364,142.77203989,10.2264750004,15,25
1000000,16,4,8.04623893291,115.976619005,25.9805791378,20,25
1000000,16,4,7.79694668373,88.5725259781,86.510613203,25,25
